id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,D_72 72
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,BV_11 11
100000000,XXX,EF_7 7
1000000000,XXX,CZ_9 9
10000000000,XXX,FB_5 5
100000000000,XXX,FR_4 4
1000000000000,XXX,GI_2 2
10000000000000,XXX,GO_1 1
10000000001,XXX,FC_2 2
100000000010,XXX,FT_1 1
100000000011,XXX,FU_1 1
100000001,XXX,DA_2 2
1000000010,XXX,EI_1 1
100000002,XXX,EG_2 2
1000000020,XXX,FE_1 1
10000001,XXX,BW_1 1
1000001,XXX,DB_5 5
10000010,XXX,EJ_3 3
100000100,XXX,AW_7 7
1000001000,XXX,FF_2 2
10000010000,XXX,BX_6 6
100000100000,XXX,FW_1 1
1000002,XXX,BY_1 1
100001,XXX,BZ_2 2
1000010,XXX,AE_6 6
10000100,XXX,AX_4 4
100001000,XXX,DD_1 1
100001001,XXX,DE_1 1
10001,XXX,Q_19 19
100010,XXX,AF_17 17
1000100,XXX,AZ_14 14
10001000,XXX,DH_7 7
100010000,XXX,CD_11 11
1000100000,XXX,EL_6 6
10001000000,XXX,FJ_4 4
100010000000,XXX,FX_3 3
1000100000000,XXX,GJ_2 2
10001000000000,XXX,GQ_1 1
10001000001,XXX,FK_2 2
100010000010,XXX,FZ_1 1
10001001,XXX,DI_4 4
100010010,XXX,EO_1 1
1000101,XXX,BA_3 3
10001010,XXX,CF_2 2
100010100,XXX,DL_1 1
1001,XXX,I_28 28
10010,XXX,R_14 14
100100,XXX,CH_8 8
1001000,XXX,AH_10 10
10010000,XXX,DN_6 6
100100000,XXX,BD_9 9
1001000000,XXX,ES_2 2
10010000000,XXX,FP_1 1
100101,XXX,AI_4 4
1001010,XXX,BF_3 3
10010100,XXX,CJ_2 2
100101000,XXX,DQ_1 1
1001011,XXX,BG_1 1
10011,XXX,S_14 14
100110,XXX,AJ_9 9
1001100,XXX,BH_6 6
10011000,XXX,CM_2 2
100110000,XXX,DT_1 1
1001101,XXX,BI_3 3
10011010,XXX,CN_2 2
100110100,XXX,DV_1 1
101,XXX,E_19 19
1010,XXX,J_15 15
10100,XXX,T_9 9
101000,XXX,AL_7 7
1010000,XXX,BL_4 4
10100000,XXX,CT_3 3
101000000,XXX,DZ_2 2
1010000000,XXX,FA_1 1
1010001,XXX,BM_3 3
10100010,XXX,CV_2 2
101000100,XXX,EB_1 1
101000101,XXX,EC_1 1
10100011,XXX,CW_1 1
101001,XXX,AM_2 2
1010010,XXX,BO_1 1
10101,XXX,U_6 6
101010,XXX,AN_4 4
1010100,XXX,BQ_1 1
101011,XXX,AO_2 2
1010110,XXX,BR_1 1
1011,XXX,K_4 4
10110,XXX,V_3 3
101100,XXX,AP_2 2
1011000,XXX,BT_1 1
101101,XXX,AQ_1 1
11,XXX,C_9 9
110,XXX,F_5 5
1100,XXX,M_2 2
11000,XXX,AA_1 1
1101,XXX,X_2 2
11010,XXX,L_3 3
110100,XXX,AR_1 1
